,CNH,CNY,Basis
9/2/2021, 6.45 , ¥6.46 ,0.0086
9/3/2021, 6.43 , ¥6.45 ,0.0184
9/6/2021, 6.45 , ¥6.45 ,0.0054
9/7/2021, 6.46 , ¥6.47 ,0.0062
9/8/2021, 6.45 , ¥6.46 ,0.0068
9/9/2021, 6.45 , ¥6.45 ,0.0016
9/10/2021, 6.44 , ¥6.44 ,0.001
9/13/2021, 6.44 , ¥6.45 ,0.0105
9/14/2021, 6.43 , ¥6.44 ,0.006
9/15/2021, 6.43 , ¥6.43 ,0.0069
9/16/2021, 6.45 , ¥6.46 ,0.0049
9/17/2021, 6.47 , ¥6.47 ,-0.0062
9/20/2021, 6.48 , ¥6.47 ,-0.0155
9/21/2021, 6.48 , ¥6.47 ,-0.0149
9/22/2021, 6.47 , ¥6.46 ,-0.0082
9/23/2021, 6.46 , ¥6.46 ,-0.0016
9/24/2021, 6.46 , ¥6.47 ,0.0065
9/27/2021, 6.46 , ¥6.46 ,-0.0008
9/28/2021, 6.46 , ¥6.46 ,-0.0051
9/29/2021, 6.48 , ¥6.47 ,-0.0061
9/30/2021, 6.45 , ¥6.45 ,-0.0022
10/1/2021, 6.43 , ¥6.45 ,0.012
10/4/2021, 6.45 , ¥6.45 ,-0.0025
10/5/2021, 6.45 , ¥6.45 ,-0.0026
10/6/2021, 6.45 , ¥6.45 ,-0.0074
10/7/2021, 6.45 , ¥6.45 ,-0.0061
10/8/2021, 6.44 , ¥6.44 ,0.0004
10/11/2021, 6.46 , ¥6.45 ,-0.0078
10/12/2021, 6.45 , ¥6.45 ,-0.0056
10/13/2021, 6.43 , ¥6.43 ,0.0003
10/14/2021, 6.43 , ¥6.44 ,0.0042
10/15/2021, 6.43 , ¥6.43 ,0.0012
10/18/2021, 6.43 , ¥6.43 ,0.0028
10/19/2021, 6.38 , ¥6.38 ,0.0072
10/20/2021, 6.39 , ¥6.39 ,0.0009
10/21/2021, 6.39 , ¥6.39 ,-0.0007
10/22/2021, 6.38 , ¥6.38 ,0.002
10/25/2021, 6.38 , ¥6.39 ,0.0047
10/26/2021, 6.38 , ¥6.38 ,0.0048
