Date,VAS.AX,VGS.AX,VAP.AX,VGB.AX,VBND.AX,Cash
1/31/2018,0.002066471,0,0.017468806,0.003984064,-0.001719902,-0.001193436
2/1/2018,0.009108094,0,0.003153469,-0.000233427,-0.002461236,9.95718E-05
2/2/2018,0.004768392,-0.011627907,-0.011701013,0.000700444,-0.000246731,0
2/5/2018,-0.015254237,-0.035294118,-0.017670967,-0.004433038,-0.000987167,0.000199124
2/6/2018,-0.032185886,0,-0.021046951,0.005624561,0.003211462,0
2/7/2018,0.007469322,0,0.008636531,-0.003728735,-0.001231224,0
2/8/2018,0.00282436,-0.024390244,0.003461468,-0.000701754,-0.003944773,9.95421E-05
2/9/2018,-0.010033445,0,-0.009259259,0.002574906,0.001485149,0
2/12/2018,-0.002311522,0.0125,-0.000733003,-0.00186785,0.000494315,0.000199064
2/13/2018,0.006059526,0,0.011736659,0.000467836,0.000494071,0
2/14/2018,0.001594331,0.012345679,-0.010694218,0,0,9.95124E-05
2/15/2018,0.01131942,0.012195122,-0.003664346,-0.000701426,-0.002469136,0
2/16/2018,-0.002273522,0,0.028687017,-0.000935891,0.000742574,9.95025E-05
2/20/2018,0.007537248,0,-0.015909903,-0.000234192,0.001236705,9.94926E-05
2/21/2018,0.000695894,0,0.007084469,0.002108222,0.001976285,9.94827E-05
2/22/2018,0.002433936,0,-0.011724387,0.000233754,0,0
2/23/2018,0.008151231,0.012048193,0.008943238,0.001168497,0,0
2/26/2018,0.007913298,0,0.020079595,0.004435107,0,0.000198946
2/27/2018,0.002730841,0,-0.003014719,-0.000464792,-0.000493097,0
2/28/2018,-0.005787234,-0.011904762,-0.017075774,-0.000930016,0,-0.001392342
3/1/2018,-0.006163328,-0.012048193,0.003619254,0.001163603,0.00049334,0
3/2/2018,-0.006890612,0,0.005769924,0.0013947,0,0
3/5/2018,-0.005377277,0,-0.005557548,-0.000696379,0,0.000199183
3/6/2018,0.012033484,0.012195122,-0.001802776,-0.00232288,0,0
3/7/2018,-0.010684129,0,-0.001264223,0.000931315,0,0
3/8/2018,0.009406027,0,0.005605787,0.000697837,0.000739645,9.95718E-05
3/9/2018,0.002933563,0.012048193,0.008811365,-0.00116225,-0.000492732,0
3/12/2018,0.006710255,0,-0.000178253,-0.000698162,-0.000246488,0.000199124
3/13/2018,-0.004956418,0,-0.001247994,-0.000931532,0.00147929,0
3/14/2018,-0.005839918,-0.011904762,-0.005890753,0.002564103,0.000738552,0
3/15/2018,-0.001727713,0.012048193,0.001436524,0.003952569,0.001230012,0
3/16/2018,0.003980616,0,0.007710238,0.002084298,0,9.95421E-05
3/19/2018,0.002585761,-0.011904762,0.010854093,-0.000924428,0,9.95322E-05
3/20/2018,-0.004298487,0,-0.00756909,-0.000925283,0,9.95223E-05
3/21/2018,0.002762908,0,-0.005853139,0.000231535,-0.000982801,0
3/22/2018,-0.002583089,-0.024096386,-0.008206958,0.000694444,-0.004426955,0
3/23/2018,-0.019337017,-0.024691358,-0.007735204,0.000925283,0,9.95124E-05
3/26/2018,-0.005105634,0.025316456,-0.002538071,0,0.002964427,9.95025E-05
3/27/2018,0.008140152,-0.012345679,0.003635042,-0.001848856,0,9.94926E-05
3/28/2018,-0.007547832,0,0.002354219,0.004862237,0.006650246,0
3/29/2018,-0.006013442,0.0125,0.001987353,0.000460829,0.000734035,9.94827E-05
4/3/2018,-0.001067616,-0.012345679,-0.007753336,-0.000230309,0.001711491,-0.000994728
4/4/2018,0.001781261,0,0.009812829,-0.000691085,-0.001220405,0
4/5/2018,0.004800853,0.0125,0.007737988,-0.003918857,0,9.95718E-05
4/6/2018,-0.001061759,-0.012345679,0.003214286,0,-0.000977517,9.95619E-05
4/9/2018,0.005491585,0,0.004093984,0.002545707,-0.000244618,9.9552E-05
4/10/2018,0.007047216,0.0125,0.001595462,-0.001154201,-0.000244678,9.95421E-05
4/11/2018,-0.006123163,0,-0.007787611,0,0.001468429,0
4/12/2018,-0.001408203,0,-0.009097396,-0.000462214,0,9.95322E-05
4/13/2018,0.003172924,0,-0.000180018,-0.001387283,0,0
4/16/2018,0.00175716,0.012345679,0.000360101,-0.001620746,0,0.000199045
4/17/2018,0.000175408,0,0.000359971,-0.002087199,-0.000733138,0
4/18/2018,0.002455279,0.012195122,0.0086362,0.002556356,0.000733676,9.95025E-05
4/19/2018,0.004023793,-0.012048193,-0.004637888,-0.003013445,-0.002932551,0
4/20/2018,-0.002787942,0,-0.002867384,0.000930016,-0.00245098,9.94926E-05
4/23/2018,0.003494671,0,0.001797268,-0.00232288,-0.003194103,9.94827E-05
4/24/2018,0.005572001,0,0.009329028,0.001164144,0,9.94728E-05
4/26/2018,-0.001904762,0,0.004088162,-0.001860465,0,9.94629E-05
4/27/2018,0.006939625,0,0.003186405,0.002562908,0.001725413,9.9453E-05
4/30/2018,0.005858029,0,0.018528322,0.001859168,0.001476378,-0.001690533
5/1/2018,0.005310038,0,0.008662509,0.002319647,-0.001965602,0
5/2/2018,0.005452377,0,0.00979045,-0.001388567,0.000984737,9.96115E-05
5/3/2018,0.008134215,0,-0.002721551,-0.001390498,0.000983768,9.96016E-05
5/4/2018,-0.005883342,0.012195122,-0.011598158,0.002552796,0.0004914,0
5/7/2018,0.003550896,0,0.00742019,0.001388889,0,0.000199183
5/8/2018,0.001010952,0,0,0,0.000491159,0
5/9/2018,0.00370308,0.012048193,0.010791367,-0.001386963,-0.003190967,9.95718E-05
5/10/2018,0.001341607,0,-0.005083884,-0.000231481,0.000738734,9.95619E-05
5/11/2018,-0.000669905,0,-0.003406575,-0.00046307,0.001230315,9.9552E-05
5/14/2018,0.004860064,0,0,0.002316423,0.001474564,9.95421E-05
5/15/2018,-0.004503002,0,-0.00358913,-0.002079963,-0.002453988,9.95322E-05
5/16/2018,0.001842855,0,-0.007890223,-0.002547476,-0.001230012,0
5/17/2018,-0.001505017,0,-0.012448133,-0.000696541,-0.001477833,9.95223E-05
5/18/2018,0.000167476,0,0.012254902,-0.00232342,-0.00172669,0
5/21/2018,-0.000669792,0.011904762,-0.000691802,0.003493246,0.002470966,0.000199025
5/22/2018,-0.006869973,0,0.002076843,0.000696217,-0.001232438,0
5/23/2018,-0.000506158,-0.011764706,0.016753022,0.001159555,0,0
5/24/2018,-0.000675219,0,0.010361814,0.001621496,0.004195459,9.94926E-05
5/25/2018,0.000506757,0,-0.003026227,-0.000462535,-0.000737282,9.94827E-05
5/29/2018,-0.003376667,-0.011904762,0.002866779,0.00370199,-0.000245942,0.000198946
5/30/2018,-0.004743351,0.012048193,-0.0042038,0.002996773,0.001230012,0
5/31/2018,0.005276596,-0.011904762,-0.002364066,0.000689497,0.002211302,-0.001093983
6/1/2018,-0.003217067,0.012048193,0.003554502,-0.002756086,0.000490316,0
6/4/2018,0.003906914,0,0.013155675,-0.002072778,-0.005390836,0.000199124
6/5/2018,-0.003384095,0,-0.014649575,0.000230787,0,0
6/6/2018,0.005263158,0.011904762,0.00794053,0.000230734,0.00443459,9.95421E-05
6/7/2018,0.005573383,0,-0.003855179,-0.00438293,-0.003679176,0
6/8/2018,-0.002855223,0,-0.003365304,0.00115848,0.000246184,9.95322E-05
6/12/2018,0.001684352,0,-0.001350667,0.00115714,0,0.000199045
6/13/2018,-0.006389776,0,0.00101437,0,0.000738371,0
6/14/2018,0,0.011764706,0.003208917,0.003236246,-0.000245942,9.95025E-05
6/15/2018,0.013200203,-0.011627907,0.005892256,0.002304147,0.004182042,0
6/18/2018,0.000501086,0,0.008368201,0,0.00122489,0.000198985
6/19/2018,0.000500835,0,-0.002655602,0.002528736,0.001223391,0
6/20/2018,0.011346571,0,0.007488767,-0.001146526,-0.005865103,0
6/21/2018,0.009569378,-0.011764706,0.013214404,0.000229568,-0.000491642,9.94728E-05
6/22/2018,-0.002451381,0.011904762,-0.006847082,0.000688547,0.004181013,0
6/25/2018,-0.001802097,-0.023529412,-0.003282994,0.001834862,0.000244918,0.000198926
6/26/2018,-0.00180535,0,0.001152833,-0.001373626,-0.000244858,0
6/27/2018,-0.000328839,0,-0.004935022,0.00343879,-0.002204262,9.94431E-05
6/28/2018,0.004934211,0,0.008761779,-0.002056203,0.002700049,0
6/29/2018,-0.003273322,0.012048193,-0.00245821,0.000457875,-0.00244798,9.94332E-05
7/2/2018,-0.002298851,-0.035714286,0.00361426,0.000915332,0.003190184,-0.000994233
7/3/2018,0.005102041,0,0.006220331,0.002057613,0,0
7/5/2018,0.00049124,0,-0.001138767,-0.000912617,-0.002690802,0.000199045
7/6/2018,0.009492635,0.012345679,0.005863192,-0.001826901,0.005396125,0
7/9/2018,0.001459144,0.012195122,-0.002752591,0.001830245,-0.000243962,0.000199005
7/10/2018,-0.004532945,0,0.003734372,-0.002055264,0,0
7/11/2018,-0.006505123,-0.012048193,-0.010514397,0.001830664,0.000488043,9.94827E-05
7/12/2018,0.008512031,0.012195122,0.014876573,-0.000228415,-0.000487805,9.94728E-05
7/13/2018,-0.000162311,0,0.005154639,0,0.000976086,0
7/16/2018,-0.004707792,0,-0.013461538,-0.001370802,0.001218918,0.000198926
7/17/2018,-0.005871799,0,-0.000812216,-0.000228781,-0.001217434,9.94431E-05
7/18/2018,0.006890894,0,-0.000650301,0.000686499,0.000487567,0
7/19/2018,0.002118299,0,0.002440215,-0.002515436,0,9.94332E-05
7/20/2018,0.003902439,0,0.000162285,0.003209537,0.001218324,0
7/23/2018,-0.009070295,0,-0.011195846,-0.002285192,-0.004380628,0.000198847
7/24/2018,0.006374632,0.012048193,-0.001148671,-0.000687128,0,9.94036E-05
7/25/2018,-0.003410752,0,0.000492854,0.0006876,-0.002199951,0
7/26/2018,0.000162973,0,-0.000656814,0.00091617,-0.001959824,9.93937E-05
7/27/2018,0.008962034,0,0.011173184,0.001830664,0.001963672,0
7/30/2018,-0.00500646,-0.011904762,-0.005524862,-0.000913659,0.00244978,0.000198768
7/31/2018,0.001298491,0.012048193,0.004411765,0.000685871,-0.001221896,-0.001689189
8/1/2018,-0.000810504,0,0.004067025,-0.00228467,0.000978713,9.95322E-05
8/2/2018,-0.005191434,0,-0.005184705,-0.00022899,-0.001955512,9.95223E-05
8/3/2018,-0.000489237,0,0.004071661,-0.000458085,-0.001469508,0
8/6/2018,0.005710556,0,0.01054339,0.002062328,0.002207506,0.000199025
8/7/2018,-0.003406879,0,0.002247191,0.00114338,0.000489476,0
8/8/2018,0.00211623,0,-0.000480461,-0.000913659,-0.000489237,9.94926E-05
8/9/2018,0.005360624,0,0.005768306,0.000685871,0.000489476,0
8/10/2018,-0.003716271,0,-0.007487653,0.004112406,0.001712329,9.94827E-05
8/13/2018,-0.003730133,-0.011904762,-0.0035313,0.002047782,0.001465201,9.94728E-05
8/14/2018,0.008627706,0.012048193,0.005315722,-0.001362398,-0.001219215,9.94629E-05
8/15/2018,0.006778567,-0.011904762,0.007050152,0.000909504,0.000488281,9.9453E-05
8/16/2018,0.000160308,0,-0.003341289,-0.000227169,0.000244021,0
8/17/2018,0.001602821,0.012048193,0.01261175,0.000454442,0.000243962,9.94431E-05
8/20/2018,0.001760282,0,0.004256661,0.002044061,-0.000243902,9.94332E-05
8/21/2018,-0.008945687,0,-0.007378336,0,0.002195657,9.94233E-05
8/22/2018,-0.003384913,0,-0.001423375,0.000226655,-0.001217137,0
8/23/2018,-0.001455604,0,-0.000633513,-0.001359619,0.003168413,9.94135E-05
8/24/2018,0.000809848,0,-0.011885895,0.001588382,-0.002429543,0
8/27/2018,0.003074931,0.011904762,0.004490778,-0.001132759,0.000243546,0.000198807
8/28/2018,0.006937722,0,0.005428708,-0.00181447,-0.001947894,0
8/29/2018,0.007370614,0,0.003652533,0,-0.000975848,9.93838E-05
8/30/2018,0,0,0.013132911,0.000454442,0.0004884,0
8/31/2018,-0.004612693,0,-0.014836795,0.002725414,0.00244081,-0.001490609
9/4/2018,-0.004154682,0,0.001902346,-0.000226501,-0.000243487,0.000199045
9/5/2018,-0.009306804,-0.011764706,0.000474684,-0.001812415,-0.000974184,0
9/6/2018,-0.009880143,0,-0.006009805,0.000453926,-0.000243784,9.95025E-05
9/7/2018,-0.00196303,0,0.000477327,0.001588022,0.001463058,0
9/10/2018,-0.000163908,0,-0.002226463,-0.000906002,-0.002434867,0.000198985
9/11/2018,0.007213115,0,0.007172458,-0.00113353,0.001220405,0
9/12/2018,-0.000651042,0,-0.000633012,0.000907853,-0.001950268,9.94728E-05
9/13/2018,-0.00732899,0,0.004275534,-0.002040816,-0.002442599,0
9/14/2018,0.007219032,0.011904762,0.000630716,0.000681663,0.000244858,9.94629E-05
9/17/2018,0.002769181,-0.011764706,0.004254649,0,0.000734394,0.000198906
9/18/2018,-0.003898635,0.011904762,0.002510592,-0.003178928,0.000489237,0
9/19/2018,0.004892368,0,-0.008295508,-0.002277904,-0.00195599,9.94332E-05
9/20/2018,-0.003570269,0.011764706,-0.014835859,0.000684932,-0.000244978,0
9/21/2018,0.00276873,0,0.011534764,0,0.000245038,0
9/24/2018,0.000649667,0,-0.009502692,-0.001140771,0.000979912,0.000198847
9/25/2018,-0.001298491,0,-0.00479693,0,-0.004405286,0
9/26/2018,0.001625223,0,0.000803342,0.000685244,0.001966568,9.94036E-05
9/27/2018,-0.001622586,0,0.000642158,0.001826067,0.002453386,0
9/28/2018,0.005688282,0,0.002246109,0.000227842,0,9.93937E-05
