Date,VAS.AX,IEQH,GIFRU,VGB.AX,VBND.AX,Cash,VGS.AX,VAP.AX
1/16/2018,-0.002736446,-0.00128041,-0.00627106,0,-0.002203722,0.000199084,0,-0.008176757
1/17/2018,-0.004973418,0.005011655,0.000470943,-0.000932836,0.003680982,9.95E-05,0,0.002280302
1/18/2018,0.000344709,-0.001623565,-0.006966673,-0.00210084,-0.001711491,0,0,0.005075254
1/19/2018,-0.002584425,0.004994773,-0.001137656,-0.002105263,0,0,0.011627907,-0.005049626
1/22/2018,-0.001727414,0.00543227,0.000474563,-0.000234412,-0.00122459,0.000199025,0,-0.005075254
1/23/2018,0.007440734,0.002758938,0.008158619,0.002344666,-0.001961746,0,0,0.006332454
1/24/2018,0.004122295,-0.002865986,-0.009786393,0.001169591,0,9.95E-05,0,0.015032337
1/25/2018,-0.002223743,-0.001954472,-0.002470778,-0.000934579,0.0004914,0,0,-0.01532633
1/29/2018,0.004971713,0.003110241,-0.007907021,-0.001870907,-0.000982318,0.000198965,0,-0.009094089
1/30/2018,-0.009382463,-0.009761139,-0.002592664,-0.000234302,0.000491642,9.95E-05,-0.011494253,-0.009883516
1/31/2018,0.002066471,-0.001391627,0.004909984,0.003984064,-0.001719902,-0.001193436,0,0.017468806
2/1/2018,0.009108094,-0.000232261,0.00201188,-0.000233427,-0.002461236,9.96E-05,0,0.003153469
2/2/2018,0.004768392,-0.016958996,-0.003059566,0.000700444,-0.000246731,0,-0.011627907,-0.011701013
2/5/2018,-0.015254237,-0.031549096,-0.020427736,-0.004433038,-0.000987167,0.000199124,-0.035294118,-0.017670967
2/6/2018,-0.032185886,-0.000244021,-0.000293715,0.005624561,0.003211462,0,0,-0.021046951
2/7/2018,0.007469322,0.001708567,0.002350406,-0.003728735,-0.001231224,0,0,0.008636531
2/8/2018,0.00282436,-0.028143275,-0.011822179,-0.000701754,-0.003944773,9.95E-05,-0.024390244,0.003461468
2/9/2018,-0.010033445,0.003886173,0.006921099,0.002574906,0.001485149,0,0,-0.009259259
2/12/2018,-0.002311522,0.012737263,0.005891595,-0.00186785,0.000494315,0.000199064,0.0125,-0.000733003
2/13/2018,0.006059526,-0.000123305,-0.002928544,0.000467836,0.000494071,0,0,0.011736659
2/14/2018,0.001594331,0.011098779,-0.000783239,0,0,9.95E-05,0.012345679,-0.010694218
2/15/2018,0.01131942,0.010367118,0.00930825,-0.000701426,-0.002469136,0,0.012195122,-0.003664346
2/16/2018,-0.002273522,0.003742154,0.005727599,-0.000935891,0.000742574,9.95E-05,0,0.028687017
2/20/2018,0.007537248,-0.002645821,-0.006177606,-0.000234192,0.001236705,9.95E-05,0,-0.015909903
2/21/2018,0.000695894,-0.002773423,0.000679876,0.002108222,0.001976285,9.95E-05,0,0.007084469
2/22/2018,0.002433936,-0.000604595,0,0.000233754,0,0,0,-0.011724387
2/23/2018,0.008151231,0.011373261,0.020770649,0.001168497,0,0,0.012048193,0.008943238
2/26/2018,0.007913298,0.010049049,0.002377104,0.004435107,0,0.000198946,0,0.020079595
2/27/2018,0.002730841,-0.007698685,-0.011288181,-0.000464792,-0.000493097,0,0,-0.003014719
2/28/2018,-0.005787234,-0.01026498,-0.010457642,-0.000930016,0,-0.001392342,-0.011904762,-0.017075774
3/1/2018,-0.006163328,-0.012180415,0.000290867,0.001163603,0.00049334,0,-0.012048193,0.003619254
3/2/2018,-0.006890612,-0.003296301,-0.003489386,0.0013947,0,0,0,0.005769924
3/5/2018,-0.005377277,0.008574228,0.011185682,-0.000696379,0,0.000199183,0,-0.005557548
3/6/2018,0.012033484,0.004250668,-0.009715275,-0.00232288,0,0,0.012195122,-0.001802776
3/7/2018,-0.010684129,-0.000362801,-0.00301117,0.000931315,0,0,0,-0.001264223
3/8/2018,0.009406027,0.006048875,0.010522214,0.000697837,0.000739645,9.96E-05,0,0.005605787
3/9/2018,0.002933563,0.011904762,0.001253374,-0.00116225,-0.000492732,0,0.012048193,0.008811365
3/12/2018,0.006710255,0.00154486,0.001925855,-0.000698162,-0.000246488,0.000199124,0,-0.000178253
3/13/2018,-0.004956418,-0.005457997,-0.000192215,-0.000931532,0.00147929,0,0,-0.001247994
3/14/2018,-0.005839918,-0.004175614,0.001057387,0.002564103,0.000738552,0,-0.011904762,-0.005890753
3/15/2018,-0.001727713,0.000599018,0.002976762,0.003952569,0.001230012,0,0.012048193,0.001436524
3/16/2018,0.003980616,0.00131705,0.014648157,0.002084298,0,9.95E-05,0,0.007710238
3/19/2018,0.002585761,-0.012794452,-0.003208152,-0.000924428,0,9.95E-05,-0.011904762,0.010854093
3/20/2018,-0.004298487,0.00181686,-0.001135933,-0.000925283,0,9.95E-05,0,-0.00756909
3/21/2018,0.002762908,-0.001329948,-0.000947688,0.000231535,-0.000982801,0,0,-0.005853139
3/22/2018,-0.002583089,-0.01937046,-0.003414912,0.000694444,-0.004426955,0,-0.024096386,-0.008206958
3/23/2018,-0.019337017,-0.019012346,-0.014372739,0.000925283,0,9.95E-05,-0.024691358,-0.007735204
3/26/2018,-0.005105634,0.015605336,0.007725736,0,0.002964427,9.95E-05,0.025316456,-0.002538071
3/27/2018,0.008140152,-0.005328377,0.00862482,-0.001848856,0,9.95E-05,-0.012345679,0.003635042
3/28/2018,-0.007547832,-0.001494955,0.007410926,0.004862237,0.006650246,0,0,0.002354219
3/29/2018,-0.006013442,0.010729881,0.006036028,0.000460829,0.000734035,9.95E-05,0.0125,0.001987353
4/3/2018,-0.001067616,-0.013948895,-0.013780819,-0.000230309,0.001711491,-0.000994728,-0.012345679,-0.007753336
4/4/2018,0.001781261,0.005883826,-0.000760456,-0.000691085,-0.001220405,0,0,0.009812829
4/5/2018,0.004800853,0.011698818,0.010273973,-0.003918857,0,9.96E-05,0.0125,0.007737988
4/6/2018,-0.001061759,-0.014515931,-0.006685499,0,-0.000977517,9.96E-05,-0.012345679,0.003214286
4/9/2018,0.005491585,0.003245537,0.00331785,0.002545707,-0.000244618,9.96E-05,0,0.004093984
4/10/2018,0.007047216,0.012691303,-0.011432351,-0.001154201,-0.000244678,9.95E-05,0.0125,0.001595462
4/11/2018,-0.006123163,-0.004546013,-0.000573449,0,0.001468429,0,0,-0.007787611
4/12/2018,-0.001408203,0.005801037,-0.0035383,-0.000462214,0,9.95E-05,0,-0.009097396
4/13/2018,0.003172924,-0.000981716,0.00134357,-0.001387283,0,0,0,-0.000180018
4/16/2018,0.00175716,0.004299226,0.010829979,-0.001620746,0,0.000199045,0.012345679,0.000360101
4/17/2018,0.000175408,0.008439335,0.007585095,-0.002087199,-0.000733138,0,0,0.000359971
4/18/2018,0.002455279,0.003395998,0.002070199,0.002556356,0.000733676,9.95E-05,0.012195122,0.0086362
4/19/2018,0.004023793,-0.003142754,-0.001126866,-0.003013445,-0.002932551,0,-0.012048193,-0.004637888
4/20/2018,-0.002787942,-0.004243968,0.004888596,0.000930016,-0.00245098,9.95E-05,0,-0.002867384
4/23/2018,0.003494671,0.001339503,0.007016559,-0.00232288,-0.003194103,9.95E-05,0,0.001797268
4/24/2018,0.005572001,-0.006931777,0.001486436,0.001164144,0,9.95E-05,0,0.009329028
4/26/2018,-0.001904762,0.007959833,0.014007421,-0.001860465,0,9.95E-05,0,0.004088162
4/27/2018,0.006939625,0.002186855,0.005946391,0.002562908,0.001725413,9.95E-05,0,0.003186405
4/30/2018,0.005858029,-0.003879258,9.09422E-05,0.001859168,0.001476378,-0.001690533,0,0.018528322
5/1/2018,0.005310038,0.001582086,0.006638174,0.002319647,-0.001965602,0,0,0.008662509
5/2/2018,0.005452377,-0.003037667,-0.001535682,-0.001388567,0.000984737,9.96E-05,0,0.00979045
5/3/2018,0.008134215,-0.002925046,-0.000723785,-0.001390498,0.000983768,9.96E-05,0,-0.002721551
5/4/2018,-0.005883342,0.009656521,0.004617474,0.002552796,0.0004914,0,0.012195122,-0.011598158
5/7/2018,0.003550896,0.003753027,0.000991348,0.001388889,0,0.000199183,0,0.00742019
5/8/2018,0.001010952,0.000603064,-0.0008103,0,0.000491159,0,0,0
5/9/2018,0.00370308,0.007111861,0.00099117,-0.001386963,-0.003190967,9.96E-05,0.012048193,0.010791367
5/10/2018,0.001341607,0.006822262,0.001980376,-0.000231481,0.000738734,9.96E-05,0,-0.005083884
5/11/2018,-0.000669905,0.002615311,-0.002425658,-0.00046307,0.001230315,9.96E-05,0,-0.003406575
5/14/2018,0.004860064,0.001422812,-0.001260807,0.002316423,0.001474564,9.95E-05,0,0
5/15/2018,-0.004503002,-0.004143973,0.002164112,-0.002079963,-0.002453988,9.95E-05,0,-0.00358913
5/16/2018,0.001842855,0.002021163,-0.009177614,-0.002547476,-0.001230012,0,0,-0.007890223
5/17/2018,-0.001505017,0.001779782,-0.001997821,-0.000696541,-0.001477833,9.95E-05,0,-0.012448133
5/18/2018,0.000167476,-0.001658178,-0.000363967,-0.00232342,-0.00172669,0,0,0.012254902
5/21/2018,-0.000669792,0.005575988,-0.002457673,0.003493246,0.002470966,0.000199025,0.011904762,-0.000691802
5/22/2018,-0.006869973,-0.001651723,-0.003832466,0.000696217,-0.001232438,0,0,0.002076843
5/23/2018,-0.000506158,-0.001772631,0.007786022,0.001159555,0,0,-0.011764706,0.016753022
5/24/2018,-0.000675219,-0.003669942,0.001545174,0.001621496,0.004195459,9.95E-05,0,0.010361814
5/25/2018,0.000506757,-0.001663498,0.001633542,-0.000462535,-0.000737282,9.95E-05,0,-0.003026227
5/29/2018,-0.003376667,-0.01154487,0.001449669,0.00370199,-0.000245942,0.000198946,-0.011904762,0.002866779
5/30/2018,-0.004743351,0.007344973,0.004976025,0.002996773,0.001230012,0,0.012048193,-0.0042038
5/31/2018,0.005276596,-0.004542195,-0.00414116,0.000689497,0.002211302,-0.001093983,-0.011904762,-0.002364066
6/1/2018,-0.003217067,0.009125841,-0.004339179,-0.002756086,0.000490316,0,0.012048193,0.003554502
6/4/2018,0.003906914,0.005235602,-0.012438714,-0.002072778,-0.005390836,0.000199124,0,0.013155675
6/5/2018,-0.003384095,-0.000118371,9.19371E-05,0.000230787,0,0,0,-0.014649575
6/6/2018,0.005263158,0.005919261,-0.014248943,0.000230734,0.00443459,9.95E-05,0.011904762,0.00794053
6/7/2018,0.005573383,0.000235377,0.006154994,-0.00438293,-0.003679176,0,0,-0.003855179
6/8/2018,-0.002855223,0.000705965,0.006580777,0.00115848,0.000246184,9.95E-05,0,-0.003365304
6/12/2018,0.001684352,0.004232804,0.00801105,0.00115714,0,0.000199045,0,-0.001350667
6/13/2018,-0.006389776,-0.001873317,-0.001918334,0,0.000738371,0,0,0.00101437
6/14/2018,0,0.00340176,0.013362621,0.003236246,-0.000245942,9.95E-05,0.011764706,0.003208917
6/15/2018,0.013200203,-0.002104279,0.011741329,0.002304147,0.004182042,0,-0.011627907,0.005892256
6/18/2018,0.000501086,-0.003631678,0.005802535,0,0.00122489,0.000198985,0,0.008368201
6/19/2018,0.000500835,-0.006231628,0.006922872,0.002528736,0.001223391,0,0,-0.002655602
6/20/2018,0.011346571,0.002721249,0.003437638,-0.001146526,-0.005865103,0,0,0.007488767
6/21/2018,0.009569378,-0.006725664,-0.002810963,0.000229568,-0.000491642,9.95E-05,-0.011764706,0.013214404
6/22/2018,-0.002451381,0.003801378,0.002466526,0.000688547,0.004181013,0,0.011904762,-0.006847082
6/25/2018,-0.001802097,-0.014911243,0.002987698,0.001834862,0.000244918,0.000198926,-0.023529412,-0.003282994
6/26/2018,-0.00180535,0.002162422,0.004993867,-0.001373626,-0.000244858,0,0,0.001152833
6/27/2018,-0.000328839,-0.004075761,0.001394822,0.00343879,-0.002204262,9.94E-05,0,-0.004935022
6/28/2018,0.004934211,0.002286952,0.006093845,-0.002056203,0.002700049,0,0,0.008761779
6/29/2018,-0.003273322,0.003122373,-0.000259583,0.000457875,-0.00244798,9.94E-05,0.012048193,-0.00245821
7/2/2018,-0.002298851,-0.031605411,-0.030119439,0.000915332,0.003190184,-0.000994233,-0.035714286,0.00361426
7/3/2018,0.005102041,-0.001607121,-0.005086561,0.002057613,0,0,0,0.006220331
7/5/2018,0.00049124,0.00606736,0.006368284,-0.000912617,-0.002690802,0.000199045,0,-0.001138767
7/6/2018,0.009492635,0.007015385,0.003386809,-0.001826901,0.005396125,0,0.012345679,0.005863192
7/9/2018,0.001459144,0.008310926,-0.015633327,0.001830245,-0.000243962,0.000199005,0.012195122,-0.002752591
7/10/2018,-0.004532945,0.003515152,0.00225591,-0.002055264,0,0,0,0.003734372
7/11/2018,-0.006505123,-0.008092765,0.004501666,0.001830664,0.000488043,9.95E-05,-0.012048193,-0.010514397
7/12/2018,0.008512031,0.008158792,0.003137044,-0.000228415,-0.000487805,9.95E-05,0.012195122,0.014876573
7/13/2018,-0.000162311,0.002053388,-0.000625447,0,0.000976086,0,0,0.005154639
7/16/2018,-0.004707792,-0.00156702,-0.005364327,-0.001370802,0.001218918,0.000198926,0,-0.013461538
7/17/2018,-0.005871799,0.004104793,0.003235955,-0.000228781,-0.001217434,9.94E-05,0,-0.000812216
7/18/2018,0.006890894,0.003005892,0.003315115,0.000686499,0.000487567,0,0,-0.000650301
7/19/2018,0.002118299,-0.002277631,0.010269691,-0.002515436,0,9.94E-05,0,0.002440215
7/20/2018,0.003902439,-0.001321639,-0.009281358,0.003209537,0.001218324,0,0,0.000162285
7/23/2018,-0.009070295,0.000240616,0.002141328,-0.002285192,-0.004380628,0.000198847,0,-0.011195846
7/24/2018,0.006374632,0.004690883,-0.006588319,-0.000687128,0,9.94E-05,0.012048193,-0.001148671
7/25/2018,-0.003410752,0.005387286,0.009051801,0.0006876,-0.002199951,0,0,0.000492854
7/26/2018,0.000162973,0.00059538,0.011368683,0.00091617,-0.001959824,9.94E-05,0,-0.000656814
7/27/2018,0.008962034,-0.003094133,-0.003600597,0.001830664,0.001963672,0,0,0.011173184
7/30/2018,-0.00500646,-0.004655605,-0.003261061,-0.000913659,0.00244978,0.000198768,-0.011904762,-0.005524862
7/31/2018,0.001298491,0.003238187,0.001856928,0.000685871,-0.001221896,-0.001689189,0.012048193,0.004411765
8/1/2018,-0.000810504,-0.001315003,-0.002383054,-0.00228467,0.000978713,9.95E-05,0,0.004067025
8/2/2018,-0.005191434,0.000478813,0.006635407,-0.00022899,-0.001955512,9.95E-05,0,-0.005184705
8/3/2018,-0.000489237,0.003709021,0.002285112,-0.000458085,-0.001469508,0,0,0.004071661
8/6/2018,0.005710556,0.002026463,0.002279902,0.002062328,0.002207506,0.000199025,0,0.01054339
8/7/2018,-0.003406879,0.003806805,-0.003237095,0.00114338,0.000489476,0,0,0.002247191
8/8/2018,0.00211623,-0.000237023,-0.003072062,-0.000913659,-0.000489237,9.95E-05,0,-0.000480461
8/9/2018,0.005360624,-0.000355619,0.00528262,0.000685871,0.000489476,0,0,0.005768306
8/10/2018,-0.003716271,-0.008537887,0.005430023,0.004112406,0.001712329,9.95E-05,0,-0.007487653
8/13/2018,-0.003730133,-0.005382131,0.001480836,0.002047782,0.001465201,9.95E-05,-0.011904762,-0.0035313
8/14/2018,0.008627706,0.005411255,0.008350004,-0.001362398,-0.001219215,9.95E-05,0.012048193,0.005315722
8/15/2018,0.006778567,-0.009209425,0.00414043,0.000909504,0.000488281,9.95E-05,-0.011904762,0.007050152
8/16/2018,0.000160308,0.006639305,-0.003006615,-0.000227169,0.000244021,0,0,-0.003341289
8/17/2018,0.001602821,0.002758124,0.004566603,0.000454442,0.000243962,9.94E-05,0.012048193,0.01261175
8/20/2018,0.001760282,0.002989715,-0.003773909,0.002044061,-0.000243902,9.94E-05,0,0.004256661
8/21/2018,-0.008945687,0.001550018,-0.008006888,0,0.002195657,9.94E-05,0,-0.007378336
8/22/2018,-0.003384913,0.000833333,-0.005207429,0.000226655,-0.001217137,0,0,-0.001423375
8/23/2018,-0.001455604,-0.001308433,0.007764788,-0.001359619,0.003168413,9.94E-05,0,-0.000633513
8/24/2018,0.000809848,0.004883278,-0.005367501,0.001588382,-0.002429543,0,0,-0.011885895
8/27/2018,0.003074931,0.00770416,0.000261119,-0.001132759,0.000243546,0.000198807,0.011904762,0.004490778
8/28/2018,0.006937722,0.000470478,-0.001914375,-0.00181447,-0.001947894,0,0,0.005428708
8/29/2018,0.007370614,0.004232307,0.008195292,0,-0.000975848,9.94E-05,0,0.003652533
8/30/2018,0,-0.00421447,-0.000605327,0.000454442,0.0004884,0,0,0.013132911
8/31/2018,-0.004612693,-0.002351281,0.004239855,0.002725414,0.00244081,-0.001490609,0,-0.014836795
9/4/2018,-0.004154682,-0.00306387,0.004997415,-0.000226501,-0.000243487,0.000199045,0,0.001902346
9/5/2018,-0.009306804,-0.005791962,0.005229767,-0.001812415,-0.000974184,0,-0.011764706,0.000474684
9/6/2018,-0.009880143,-0.004280109,-0.001620469,0.000453926,-0.000243784,9.95E-05,0,-0.006009805
9/7/2018,-0.00196303,-0.002268657,0.004869298,0.001588022,0.001463058,0,0,0.000477327
9/10/2018,-0.000163908,0.002154141,0.006290912,-0.000906002,-0.002434867,0.000198985,0,-0.002226463
9/11/2018,0.007213115,0.002866014,0.003041311,-0.00113353,0.001220405,0,0,0.007172458
9/12/2018,-0.000651042,0.001071684,-0.004885033,0.000907853,-0.001950268,9.95E-05,0,-0.000633012
9/13/2018,-0.00732899,0.004638991,-0.002031316,-0.002040816,-0.002442599,0,0,0.004275534
9/14/2018,0.007219032,0.002249586,-0.002968366,0.000681663,0.000244858,9.95E-05,0.011904762,0.000630716
9/17/2018,0.002769181,-0.003898405,0.003827833,0,0.000734394,0.000198906,-0.011764706,0.004254649
9/18/2018,-0.003898635,0.0056926,0.002457419,-0.003178928,0.000489237,0,0.011904762,0.002510592
9/19/2018,0.004892368,0.002830189,-0.017751479,-0.002277904,-0.00195599,9.94E-05,0,-0.008295508
